X, Y, Z
3.017,-7.984,-0.012
3.047,-7.717,0.342
3.119,-7.415,0.749
3.162,-7.092,1.119
3.182,-6.849,1.496
3.262,-6.488,1.886
3.155,-6.262,2.192
3.085,-5.876,2.495
3.004,-5.631,2.877
2.802,-5.289,3.191
2.700,-4.976,3.516
2.454,-4.722,3.851
2.263,-4.390,4.098
2.008,-4.065,4.346
1.756,-3.803,4.559
1.459,-3.501,4.832
1.120,-3.150,5.026
0.754,-2.929,5.169
0.365,-2.561,5.440
-0.067,-2.335,5.516
-0.453,-1.966,5.662
-0.875,-1.751,5.816
-1.328,-1.414,5.852
-1.789,-1.092,5.932
-2.305,-0.823,5.987
-2.705,-0.473,5.960
-3.162,-0.228,5.941
-3.590,0.099,5.957
-4.021,0.400,5.878
-4.418,0.707,5.817
-4.815,1.003,5.721
-5.193,1.319,5.623
-5.484,1.649,5.472
-5.826,1.898,5.296
-6.064,2.220,5.082
-6.346,2.563,4.829
-6.562,2.754,4.638
-6.729,3.136,4.400
-6.757,3.352,4.138
-6.851,3.658,3.906
-6.849,3.981,3.582
-6.827,4.341,3.274
-6.759,4.571,2.972
-6.634,4.922,2.588
-6.396,5.125,2.301
-6.130,5.559,1.938
-5.802,5.775,1.570
-5.467,6.112,1.183
-5.093,6.423,0.840
